番号,回,区分,ID,設問,選択肢1(a),選択肢2(b),選択肢3(c),選択肢4(d),選択肢5(e),正答(K列),正答解析値(L列),正答テキスト(M列)
1,67,N,67-N-001,動物福祉の国際的基準である「5つの自由(5R)」に含まれないのはどれか。,飢えと渇きからの自由,不快からの自由,痛み、傷害、病気からの自由,恐怖や抑圧からの自由,死からの自由,5,5,死からの自由
2,67,N,67-N-002,動物福祉の説明として最も適切なのはどれか。,動物の殺処分を行わないようにする。,動物を人間の福祉向上のために活用する。,動物の利用を認めながら良い状態で生活させる。,動物に人と同等の権利を認め一切の利用を否定する。,動物の疾患の予防と治療を徹底する。,3,3,動物の利用を認めながら良い状態で生活させる。
3,67,N,67-N-003,獣医師が飼い主に動物の安楽死をすすめる際に決定要因となるのはどれか。,動物が治癒に時間がかかる疾患にかかった。,動物が激しい痛みで苦しんでいる。,経済的理由でこれ以上動物を治療できない。,動物を飼育できない家へ転居する。,動物が増えすぎたので数を減らしたい。,2,2,動物が激しい痛みで苦しんでいる。
4,67,N,67-N-004,慢性疾患の犬の飼い主にインターネットで見つけた最新治療法を試してほしいと依頼された。獣医師がまずとるべき対応として適切でないのはどれか。,その治療法の内容を確認せずに、実施できないとその場で断る。,その治療法について知り合いの獣医師に尋ねる。,その治療法について自身でもインターネットで調べる。,自分が治療することが可能かその獣医師に問い合わせる。,往診が可能かその獣医師に問い合わせる。,1,1,その治療法の内容を確認せずに、実施できないとその場で断る。
5,67,N,67-N-005,多数の猫を飼育禁止の住宅で飼っている飼い主への獣医師の対応として適切でないのはどれか。,飼い主が飼育している猫の健康状態を入念にチェックする。,飼い主が飼育による近隣とのトラブルを抱えていないか行政に確認する。,飼育環境や他の猫の様子を聞き問題があれば指導をする。,病院で預かっている飼い主のいない猫の飼育を依頼する。,飼い主に他の猫についても早急に去勢・避妊手術をするよう勧める。,4,4,病院で預かっている飼い主のいない猫の飼育を依頼する。
6,67,N,67-N-006,虐待を受けたと思われる犬を診察した獣医師の対応として適切なのはどれか。,飼い主を問い詰める。,苦痛から解放するため安楽死する。,都道府県や警察に通報する。,飼い主に無断で保護施設に引き渡す。,虐待の証拠を見つけ出し告発する。,3,3,都道府県や警察に通報する。
7,67,N,67-N-007,動物実験における倫理的配慮として適切なのはどれか。,安価な実験方法で行う。,できる限り生きた動物を用いる。,必要最小限の動物を使用する。,実験中は動物が怪我をしても治療しない。,実験中は安楽死を行わない。,3,3,必要最小限の動物を使用する。
8,67,N,67-N-008,「獣医師法」に規定されていないのはどれか。,応召義務(診療に応じる義務),飼育動物の保健衛生の向上に必要な事項の指導義務,診療簿保存義務,診断書交付義務,野生動物の救護義務,5,5,野生動物の救護義務
9,67,N,67-N-009,「獣医師法」第22条で定める届出は何年ごとに行わなければならないか。,1年,2年,3年,5年,10年,2,2,2年
10,67,N,67-N-010,獣医師のみが診療を業務として行える動物はどれか。,オウム科全種,魚類,は虫類,ウサギ,ミンク,1,1,オウム科全種
11,67,N,67-N-011,獣医師のみが受けることができる任用資格はどれか。,食品衛生監視員,薬事監視員,環境衛生指導員,食鳥検査員,毒物劇物監視員,4,4,食鳥検査員
12,67,N,67-N-012,平成26年12月31日現在の我が国の獣医師数に最も近いのはどれか（届出者総数）。,1万人,4万人,8万人,15万人,30万人,2,2,4万人
